sector.name,subsector.name0,subsector.name,year,input.OM.fixed,OM.fixed,technology
base load generation,coal,coal_base_conv pul 2016-2021,1975,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul before 1950,1975,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul before 1950,1975,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul before 1950,1975,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul before 1950,1975,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul before 1950,1975,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul_retire_2023,1975,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul_retire_2023,1975,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul_retire_2023,1975,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul_retire_2023,1975,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul_retire_2023,1975,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,biomass,biomass_base_conv,1990,OM-fixed,33.68,biomass (conv) (once through)
base load generation,biomass,biomass_base_conv,1990,OM-fixed,33.68,biomass (conv) (seawater)
base load generation,biomass,biomass_base_conv,1990,OM-fixed,33.68,biomass (conv) (recirculating)
base load generation,biomass,biomass_base_conv,1990,OM-fixed,33.68,biomass (conv) (cooling pond)
base load generation,biomass,biomass_base_conv,1990,OM-fixed,33.68,biomass (conv) (dry cooling)
base load generation,biomass,biomass_base_conv_CCS,1990,OM-fixed,43.18,biomass (conv CCS) (once through)
base load generation,biomass,biomass_base_conv_CCS,1990,OM-fixed,43.18,biomass (conv CCS) (seawater)
base load generation,biomass,biomass_base_conv_CCS,1990,OM-fixed,43.18,biomass (conv CCS) (recirculating)
base load generation,biomass,biomass_base_conv_CCS,1990,OM-fixed,43.18,biomass (conv CCS) (dry cooling)
base load generation,biomass,biomass_base_IGCC,1990,OM-fixed,52.86,biomass (IGCC) (once through)
base load generation,biomass,biomass_base_IGCC,1990,OM-fixed,52.86,biomass (IGCC) (seawater)
base load generation,biomass,biomass_base_IGCC,1990,OM-fixed,52.86,biomass (IGCC) (recirculating)
base load generation,biomass,biomass_base_IGCC,1990,OM-fixed,52.86,biomass (IGCC) (dry cooling)
base load generation,biomass,biomass_base_IGCC_CCS,1990,OM-fixed,67.96,biomass (IGCC CCS) (once through)
base load generation,biomass,biomass_base_IGCC_CCS,1990,OM-fixed,67.96,biomass (IGCC CCS) (seawater)
base load generation,biomass,biomass_base_IGCC_CCS,1990,OM-fixed,67.96,biomass (IGCC CCS) (recirculating)
base load generation,biomass,biomass_base_IGCC_CCS,1990,OM-fixed,67.96,biomass (IGCC CCS) (dry cooling)
base load generation,coal,coal_base_conv pul,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul_CCS,1990,OM-fixed,31.07,coal (conv pul CCS) (once through)
base load generation,coal,coal_base_conv pul_CCS,1990,OM-fixed,31.07,coal (conv pul CCS) (seawater)
base load generation,coal,coal_base_conv pul_CCS,1990,OM-fixed,31.07,coal (conv pul CCS) (recirculating)
base load generation,coal,coal_base_conv pul_CCS,1990,OM-fixed,31.07,coal (conv pul CCS) (dry cooling)
base load generation,coal,coal_base_IGCC,1990,OM-fixed,38.55,coal (IGCC) (once through)
base load generation,coal,coal_base_IGCC,1990,OM-fixed,38.55,coal (IGCC) (seawater)
base load generation,coal,coal_base_IGCC,1990,OM-fixed,38.55,coal (IGCC) (recirculating)
base load generation,coal,coal_base_IGCC,1990,OM-fixed,38.55,coal (IGCC) (dry cooling)
base load generation,coal,coal_base_IGCC_CCS,1990,OM-fixed,55.85,coal (IGCC CCS) (once through)
base load generation,coal,coal_base_IGCC_CCS,1990,OM-fixed,55.85,coal (IGCC CCS) (seawater)
base load generation,coal,coal_base_IGCC_CCS,1990,OM-fixed,55.85,coal (IGCC CCS) (recirculating)
base load generation,coal,coal_base_IGCC_CCS,1990,OM-fixed,55.85,coal (IGCC CCS) (dry cooling)
base load generation,gas,gas_base_CC,1990,OM-fixed,7.36,gas (CC) (once through)
base load generation,gas,gas_base_CC,1990,OM-fixed,7.36,gas (CC) (seawater)
base load generation,gas,gas_base_CC,1990,OM-fixed,7.36,gas (CC) (recirculating)
base load generation,gas,gas_base_CC,1990,OM-fixed,7.36,gas (CC) (cooling pond)
base load generation,gas,gas_base_CC,1990,OM-fixed,7.36,gas (CC) (dry cooling)
base load generation,gas,gas_base_CC_CCS,1990,OM-fixed,16.21,gas (CC CCS) (once through)
base load generation,gas,gas_base_CC_CCS,1990,OM-fixed,16.21,gas (CC CCS) (seawater)
base load generation,gas,gas_base_CC_CCS,1990,OM-fixed,16.21,gas (CC CCS) (recirculating)
base load generation,gas,gas_base_CC_CCS,1990,OM-fixed,16.21,gas (CC CCS) (dry cooling)
base load generation,geothermal,geo_base,1990,OM-fixed,38.89,geothermal (recirculating)
base load generation,geothermal,geo_base,1990,OM-fixed,38.89,geothermal (dry_hybrid)
base load generation,nuclear,nuc_base_Gen II,1990,OM-fixed,39.11,Gen_II_LWR (once through)
base load generation,nuclear,nuc_base_Gen II,1990,OM-fixed,39.11,Gen_II_LWR (seawater)
base load generation,nuclear,nuc_base_Gen II,1990,OM-fixed,39.11,Gen_II_LWR (recirculating)
base load generation,nuclear,nuc_base_Gen II,1990,OM-fixed,39.11,Gen_II_LWR (cooling pond)
base load generation,nuclear,nuc_base_large reactor,1990,OM-fixed,39.11,large reactor (once through)
base load generation,nuclear,nuc_base_large reactor,1990,OM-fixed,39.11,large reactor (seawater)
base load generation,nuclear,nuc_base_large reactor,1990,OM-fixed,39.11,large reactor (recirculating)
base load generation,nuclear,nuc_base_large reactor,1990,OM-fixed,39.11,large reactor (cooling pond)
base load generation,nuclear,nuc_base_SMR,1990,OM-fixed,32.05,SMR (once through)
base load generation,nuclear,nuc_base_SMR,1990,OM-fixed,32.05,SMR (seawater)
base load generation,nuclear,nuc_base_SMR,1990,OM-fixed,32.05,SMR (recirculating)
base load generation,nuclear,nuc_base_SMR,1990,OM-fixed,32.05,SMR (cooling pond)
base load generation,refined liquids,refined liquids_base_steam/CT,1990,OM-fixed,5.64,refined liquids (steam/CT) (once through)
base load generation,refined liquids,refined liquids_base_steam/CT,1990,OM-fixed,5.64,refined liquids (steam/CT) (seawater)
base load generation,refined liquids,refined liquids_base_steam/CT,1990,OM-fixed,5.64,refined liquids (steam/CT) (recirculating)
base load generation,refined liquids,refined liquids_base_steam/CT,1990,OM-fixed,5.64,refined liquids (steam/CT) (cooling pond)
base load generation,refined liquids,refined liquids_base_steam/CT,1990,OM-fixed,5.64,refined liquids (steam/CT) (dry cooling)
base load generation,refined liquids,refined liquids_base_CC,1990,OM-fixed,7.36,refined liquids (CC) (once through)
base load generation,refined liquids,refined liquids_base_CC,1990,OM-fixed,7.36,refined liquids (CC) (seawater)
base load generation,refined liquids,refined liquids_base_CC,1990,OM-fixed,7.36,refined liquids (CC) (recirculating)
base load generation,refined liquids,refined liquids_base_CC,1990,OM-fixed,7.36,refined liquids (CC) (dry cooling)
base load generation,refined liquids,refined liquids_base_CC_CCS,1990,OM-fixed,16.21,refined liquids (CC CCS) (once through)
base load generation,refined liquids,refined liquids_base_CC_CCS,1990,OM-fixed,16.21,refined liquids (CC CCS) (seawater)
base load generation,refined liquids,refined liquids_base_CC_CCS,1990,OM-fixed,16.21,refined liquids (CC CCS) (recirculating)
base load generation,refined liquids,refined liquids_base_CC_CCS,1990,OM-fixed,16.21,refined liquids (CC CCS) (dry cooling)
base load generation,solar,PV_base_storage,1990,OM-fixed,42.48,PV_base_storage
base load generation,solar,CSP_base_storage,1990,OM-fixed,18.56,CSP_base_storage
base load generation,wind,wind_base_storage,1990,OM-fixed,45.15,wind_base_storage
base load generation,coal,coal_base_conv pul 1951-1955,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1951-1955,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1951-1955,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1951-1955,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1951-1955,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1956-1960,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1956-1960,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1956-1960,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1956-1960,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1956-1960,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1961-1965,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1961-1965,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1961-1965,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1961-1965,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1961-1965,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1966-1970,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1966-1970,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1966-1970,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1966-1970,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1966-1970,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1971-1975,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1971-1975,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1971-1975,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1971-1975,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1971-1975,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1976-1980,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1976-1980,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1976-1980,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1976-1980,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1976-1980,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1981-1985,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1981-1985,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1981-1985,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1981-1985,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1981-1985,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1986-1990,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1986-1990,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1986-1990,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1986-1990,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1986-1990,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1991-1995,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1991-1995,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1991-1995,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1991-1995,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1991-1995,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1996-2000,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1996-2000,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1996-2000,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1996-2000,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1996-2000,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 2001-2005,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 2001-2005,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 2001-2005,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 2001-2005,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 2001-2005,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 2006-2010,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 2006-2010,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 2006-2010,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 2006-2010,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 2006-2010,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 2011-2015,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 2011-2015,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 2011-2015,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 2011-2015,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 2011-2015,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 2016-2021,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 2016-2021,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 2016-2021,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 2016-2021,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 2016-2021,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul before 1950,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul before 1950,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul before 1950,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul before 1950,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul before 1950,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul_retire_2023,1990,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul_retire_2023,1990,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul_retire_2023,1990,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul_retire_2023,1990,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul_retire_2023,1990,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,biomass,biomass_base_conv,2005,OM-fixed,33.68,biomass (conv) (once through)
base load generation,biomass,biomass_base_conv,2005,OM-fixed,33.68,biomass (conv) (seawater)
base load generation,biomass,biomass_base_conv,2005,OM-fixed,33.68,biomass (conv) (recirculating)
base load generation,biomass,biomass_base_conv,2005,OM-fixed,33.68,biomass (conv) (cooling pond)
base load generation,biomass,biomass_base_conv,2005,OM-fixed,33.68,biomass (conv) (dry cooling)
base load generation,biomass,biomass_base_conv_CCS,2005,OM-fixed,43.18,biomass (conv CCS) (once through)
base load generation,biomass,biomass_base_conv_CCS,2005,OM-fixed,43.18,biomass (conv CCS) (seawater)
base load generation,biomass,biomass_base_conv_CCS,2005,OM-fixed,43.18,biomass (conv CCS) (recirculating)
base load generation,biomass,biomass_base_conv_CCS,2005,OM-fixed,43.18,biomass (conv CCS) (dry cooling)
base load generation,biomass,biomass_base_IGCC,2005,OM-fixed,52.86,biomass (IGCC) (once through)
base load generation,biomass,biomass_base_IGCC,2005,OM-fixed,52.86,biomass (IGCC) (seawater)
base load generation,biomass,biomass_base_IGCC,2005,OM-fixed,52.86,biomass (IGCC) (recirculating)
base load generation,biomass,biomass_base_IGCC,2005,OM-fixed,52.86,biomass (IGCC) (dry cooling)
base load generation,biomass,biomass_base_IGCC_CCS,2005,OM-fixed,67.96,biomass (IGCC CCS) (once through)
base load generation,biomass,biomass_base_IGCC_CCS,2005,OM-fixed,67.96,biomass (IGCC CCS) (seawater)
base load generation,biomass,biomass_base_IGCC_CCS,2005,OM-fixed,67.96,biomass (IGCC CCS) (recirculating)
base load generation,biomass,biomass_base_IGCC_CCS,2005,OM-fixed,67.96,biomass (IGCC CCS) (dry cooling)
base load generation,coal,coal_base_conv pul,2005,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul,2005,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul,2005,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul,2005,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul,2005,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul_CCS,2005,OM-fixed,31.07,coal (conv pul CCS) (once through)
base load generation,coal,coal_base_conv pul_CCS,2005,OM-fixed,31.07,coal (conv pul CCS) (seawater)
base load generation,coal,coal_base_conv pul_CCS,2005,OM-fixed,31.07,coal (conv pul CCS) (recirculating)
base load generation,coal,coal_base_conv pul_CCS,2005,OM-fixed,31.07,coal (conv pul CCS) (dry cooling)
base load generation,coal,coal_base_IGCC,2005,OM-fixed,38.55,coal (IGCC) (once through)
base load generation,coal,coal_base_IGCC,2005,OM-fixed,38.55,coal (IGCC) (seawater)
base load generation,coal,coal_base_IGCC,2005,OM-fixed,38.55,coal (IGCC) (recirculating)
base load generation,coal,coal_base_IGCC,2005,OM-fixed,38.55,coal (IGCC) (dry cooling)
base load generation,coal,coal_base_IGCC_CCS,2005,OM-fixed,55.85,coal (IGCC CCS) (once through)
base load generation,coal,coal_base_IGCC_CCS,2005,OM-fixed,55.85,coal (IGCC CCS) (seawater)
base load generation,coal,coal_base_IGCC_CCS,2005,OM-fixed,55.85,coal (IGCC CCS) (recirculating)
base load generation,coal,coal_base_IGCC_CCS,2005,OM-fixed,55.85,coal (IGCC CCS) (dry cooling)
base load generation,gas,gas_base_CC,2005,OM-fixed,7.36,gas (CC) (once through)
base load generation,gas,gas_base_CC,2005,OM-fixed,7.36,gas (CC) (seawater)
base load generation,gas,gas_base_CC,2005,OM-fixed,7.36,gas (CC) (recirculating)
base load generation,gas,gas_base_CC,2005,OM-fixed,7.36,gas (CC) (cooling pond)
base load generation,gas,gas_base_CC,2005,OM-fixed,7.36,gas (CC) (dry cooling)
base load generation,gas,gas_base_CC_CCS,2005,OM-fixed,16.21,gas (CC CCS) (once through)
base load generation,gas,gas_base_CC_CCS,2005,OM-fixed,16.21,gas (CC CCS) (seawater)
base load generation,gas,gas_base_CC_CCS,2005,OM-fixed,16.21,gas (CC CCS) (recirculating)
base load generation,gas,gas_base_CC_CCS,2005,OM-fixed,16.21,gas (CC CCS) (dry cooling)
base load generation,geothermal,geo_base,2005,OM-fixed,38.89,geothermal (recirculating)
base load generation,geothermal,geo_base,2005,OM-fixed,38.89,geothermal (dry_hybrid)
base load generation,nuclear,nuc_base_Gen II,2005,OM-fixed,39.11,Gen_II_LWR (once through)
base load generation,nuclear,nuc_base_Gen II,2005,OM-fixed,39.11,Gen_II_LWR (seawater)
base load generation,nuclear,nuc_base_Gen II,2005,OM-fixed,39.11,Gen_II_LWR (recirculating)
base load generation,nuclear,nuc_base_Gen II,2005,OM-fixed,39.11,Gen_II_LWR (cooling pond)
base load generation,nuclear,nuc_base_large reactor,2005,OM-fixed,39.11,large reactor (once through)
base load generation,nuclear,nuc_base_large reactor,2005,OM-fixed,39.11,large reactor (seawater)
base load generation,nuclear,nuc_base_large reactor,2005,OM-fixed,39.11,large reactor (recirculating)
base load generation,nuclear,nuc_base_large reactor,2005,OM-fixed,39.11,large reactor (cooling pond)
base load generation,nuclear,nuc_base_SMR,2005,OM-fixed,32.05,SMR (once through)
base load generation,nuclear,nuc_base_SMR,2005,OM-fixed,32.05,SMR (seawater)
base load generation,nuclear,nuc_base_SMR,2005,OM-fixed,32.05,SMR (recirculating)
base load generation,nuclear,nuc_base_SMR,2005,OM-fixed,32.05,SMR (cooling pond)
base load generation,refined liquids,refined liquids_base_steam/CT,2005,OM-fixed,5.64,refined liquids (steam/CT) (once through)
base load generation,refined liquids,refined liquids_base_steam/CT,2005,OM-fixed,5.64,refined liquids (steam/CT) (seawater)
base load generation,refined liquids,refined liquids_base_steam/CT,2005,OM-fixed,5.64,refined liquids (steam/CT) (recirculating)
base load generation,refined liquids,refined liquids_base_steam/CT,2005,OM-fixed,5.64,refined liquids (steam/CT) (cooling pond)
base load generation,refined liquids,refined liquids_base_steam/CT,2005,OM-fixed,5.64,refined liquids (steam/CT) (dry cooling)
base load generation,refined liquids,refined liquids_base_CC,2005,OM-fixed,7.36,refined liquids (CC) (once through)
base load generation,refined liquids,refined liquids_base_CC,2005,OM-fixed,7.36,refined liquids (CC) (seawater)
base load generation,refined liquids,refined liquids_base_CC,2005,OM-fixed,7.36,refined liquids (CC) (recirculating)
base load generation,refined liquids,refined liquids_base_CC,2005,OM-fixed,7.36,refined liquids (CC) (dry cooling)
base load generation,refined liquids,refined liquids_base_CC_CCS,2005,OM-fixed,16.21,refined liquids (CC CCS) (once through)
base load generation,refined liquids,refined liquids_base_CC_CCS,2005,OM-fixed,16.21,refined liquids (CC CCS) (seawater)
base load generation,refined liquids,refined liquids_base_CC_CCS,2005,OM-fixed,16.21,refined liquids (CC CCS) (recirculating)
base load generation,refined liquids,refined liquids_base_CC_CCS,2005,OM-fixed,16.21,refined liquids (CC CCS) (dry cooling)
base load generation,solar,PV_base_storage,2005,OM-fixed,42.48,PV_base_storage
base load generation,solar,CSP_base_storage,2005,OM-fixed,18.56,CSP_base_storage
base load generation,wind,wind_base_storage,2005,OM-fixed,45.15,wind_base_storage
base load generation,coal,coal_base_conv pul 1951-1955,2005,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1951-1955,2005,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1951-1955,2005,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1951-1955,2005,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1951-1955,2005,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1956-1960,2005,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1956-1960,2005,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1956-1960,2005,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1956-1960,2005,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1956-1960,2005,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1961-1965,2005,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1961-1965,2005,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1961-1965,2005,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1961-1965,2005,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1961-1965,2005,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1966-1970,2005,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1966-1970,2005,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1966-1970,2005,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1966-1970,2005,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1966-1970,2005,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1971-1975,2005,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1971-1975,2005,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1971-1975,2005,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1971-1975,2005,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1971-1975,2005,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1976-1980,2005,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1976-1980,2005,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1976-1980,2005,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1976-1980,2005,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1976-1980,2005,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1981-1985,2005,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1981-1985,2005,OM-fixed,19.37,coal (conv pul) (seawater)
base load generation,coal,coal_base_conv pul 1981-1985,2005,OM-fixed,19.37,coal (conv pul) (recirculating)
base load generation,coal,coal_base_conv pul 1981-1985,2005,OM-fixed,19.37,coal (conv pul) (cooling pond)
base load generation,coal,coal_base_conv pul 1981-1985,2005,OM-fixed,19.37,coal (conv pul) (dry cooling)
base load generation,coal,coal_base_conv pul 1986-1990,2005,OM-fixed,19.37,coal (conv pul) (once through)
base load generation,coal,coal_base_conv pul 1986-1990,2005,OM-fixed,19.37,coal (conv pul) (seawater)
